Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
126,T,36.999827,-86.3716853,515.7,211.6,-0.6,0.107,5.95,,,False,40,False,False
127,T,36.9998152,-86.3716934,515.7,208.7,-0.5,0.108,4.9,,,False,40,False,False
128,T,36.9998056,-86.3717014,515.6,213.6,-0.6,0.109,4.2,,,False,40,False,False
129,T,36.9997938,-86.3717081,515.6,204.4,-0.3,0.11,4.72,,,False,40,False,False
130,T,36.9997842,-86.3717175,515.6,218.0,-0.5,0.111,4.44,,,False,40,False,False
131,T,36.9997713,-86.3717269,515.6,210.2,-0.4,0.112,5.44,,,False,40,False,False
132,T,36.9997627,-86.3717336,515.6,211.9,-0.3,0.112,3.69,,,False,40,False,False
133,T,36.9997531,-86.3717403,515.6,209.1,-0.2,0.113,4.01,,,False,40,False,False
134,T,36.9997413,-86.3717497,515.6,212.5,-0.2,0.114,5.1,,,False,40,False,False
135,T,36.9997338,-86.3717537,515.6,203.1,0.0,0.115,2.97,,,False,40,False,False
136,T,36.9997263,-86.3717591,515.6,209.9,-0.1,0.115,3.15,,,False,40,False,False
137,T,36.9997145,-86.3717685,515.5,212.5,-0.1,0.116,5.1,,,False,40,False,False
138,T,36.9997049,-86.3717779,515.5,218.0,-0.2,0.117,4.44,,,False,40,False,False
139,T,36.9996953,-86.3717873,515.5,218.0,-0.1,0.118,4.44,,,False,40,False,False
140,T,36.9996867,-86.371798,515.5,224.8,-0.2,0.119,4.42,,,False,40,False,False
141,T,36.9996792,-86.3718074,515.5,225.0,0.3,0.12,3.87,,,False,40,False,False
142,T,36.9996728,-86.3718181,515.6,233.2,2.1,0.12,3.9,,,True,40,False,False
143,T,36.9996642,-86.3718275,515.7,221.1,1.9,0.121,4.16,,,True,38,False,False
144,T,36.9996567,-86.3718342,515.8,215.5,1.7,0.122,3.36,,,True,37,False,False
145,T,36.9996481,-86.3718449,515.8,224.8,1.9,0.123,4.42,,,True,36,False,False
146,T,36.9996374,-86.3718556,515.9,218.6,1.8,0.123,4.99,,,True,35,False,False
147,T,36.9996235,-86.3718677,516.0,214.8,1.6,0.125,6.17,,,True,34,False,False
148,T,36.9996128,-86.3718784,516.1,218.6,1.8,0.126,4.99,,,True,33,False,False
149,T,36.9996042,-86.3718878,516.2,221.1,1.7,0.126,4.16,,,True,32,False,False
